Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,CommonName,TaxonName,TaxonRank
Animalia,Chordata,Vertebrata,Actinopterygii,Acipenseriformes,,Acipenseridae,Acipenser,transmontanus,White Sturgeon,Acipenser transmontanus,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Atheriniformes,,Atherinopsidae,Menidia,beryllina,Inland Silverside,Menidia beryllina,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Atheriniformes,,Atherinopsidae,,,Atherinopsidae,Atherinopsidae,Family
Animalia,Chordata,Vertebrata,Actinopterygii,Clupeiformes,Clupeoidei,Clupeidae,,,Clupeidae,Clupeidae,Family
Animalia,Chordata,Vertebrata,Actinopterygii,Clupeiformes,,Clupeidae,Alosa,sapidissima,American Shad,Alosa sapidissima,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Clupeiformes,,Clupeidae,Dorosoma,petenense,Threadfin Shad,Dorosoma petenense,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Cypriniformes,,Catostomidae,Catostomus,occidentalis,Sacramento Sucker,Catostomus occidentalis,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Cypriniformes,,Cyprinidae,Cyprinus,carpio,Common Carp,Cyprinus carpio,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Cypriniformes,,Cyprinidae,Mylopharodon,conocephalus,Hardhead,Mylopharodon conocephalus,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Cypriniformes,,Cyprinidae,Notemigonus,crysoleucas,Golden Shiner,Notemigonus crysoleucas,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Cypriniformes,,Cyprinidae,Orthodon,microlepidotus,Sacramento Blackfish,Orthodon microlepidotus,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Cypriniformes,,Cyprinidae,Pimephales,promelas,Fathead Minnow,Pimephales promelas,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Cypriniformes,,Cyprinidae,Pogonichthys,macrolepidotus,Sacramento Splittail,Pogonichthys macrolepidotus,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Cypriniformes,,Cyprinidae,Ptychocheilus,grandis,Sacramento Pikeminnow,Ptychocheilus grandis,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Cypriniformes,,Cyprinidae,,,Cyprinidae,Cyprinidae,Family
Animalia,Chordata,Vertebrata,Actinopterygii,Cyprinodontiformes,,Poeciliidae,Gambusia,affinis,Western Mosquitofish,Gambusia affinis,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Osmeriformes,,Osmeridae,Hypomesus,nipponensis,Wakasagi,Hypomesus nipponensis,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Osmeriformes,,Osmeridae,Hypomesus,transpacificus,Delta Smelt,Hypomesus transpacificus,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Osmeriformes,,Osmeridae,Spirinchus,thaleichthys,Longfin Smelt,Spirinchus thaleichthys,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Perciformes,Gobioidei,Gobiidae,Acanthogobius,flavimanus,Yellowfin Goby,Acanthogobius flavimanus,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Perciformes,Gobioidei,Gobiidae,Tridentiger,bifasciatus,Shimofuri Goby,Tridentiger bifasciatus,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Perciformes,Gobioidei,Gobiidae,Tridentiger,,Tridentiger sp.,Tridentiger sp.,Genus
Animalia,Chordata,Vertebrata,Actinopterygii,Perciformes,Gobioidei,Gobiidae,,,Unidentified goby,Gobiidae,Family
Animalia,Chordata,Vertebrata,Actinopterygii,Perciformes,Percoidei,Moronidae,Morone,saxatilis,Striped Bass,Morone saxatilis,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Perciformes,Percoidei,Percichthyidae,,,Percichthyidae,Percichthyidae,Family
Animalia,Chordata,Vertebrata,Actinopterygii,Perciformes,Percoidei,Percidae,Percina,macrolepida,Bigscale Logperch,Percina macrolepida,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Perciformes,,Centrarchidae,Lepomis,macrochirus,Bluegill Sunfish,Lepomis macrochirus,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Perciformes,,Centrarchidae,Lepomis,microlophus,Redear Sunfish,Lepomis microlophus,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Perciformes,,Centrarchidae,Lepomis,,Unidentified Lepomis sunfish,Lepomis sp.,Genus
Animalia,Chordata,Vertebrata,Actinopterygii,Perciformes,,Centrarchidae,Pomoxis,annularis,White Crappie,Pomoxis annularis,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Perciformes,,Centrarchidae,Pomoxis,nigromaculatus,Black Crappie,Pomoxis nigromaculatus,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Perciformes,,Centrarchidae,Pomoxis,,Crappie,Pomoxis sp.,Genus
Animalia,Chordata,Vertebrata,Actinopterygii,Perciformes,,Centrarchidae,,,Unidentified Sunfish,Centrarchidae,Family
Animalia,Chordata,Vertebrata,Actinopterygii,Salmoniformes,,Salmonidae,Oncorhynchus,tshawytscha,Chinook Salmon,Oncorhynchus tshawytscha,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Scorpaeniformes,Cottoidei,Cottidae,Cottus,asper,Prickly Sculpin,Cottus asper,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Siluriformes,,Ictaluridae,Ameiurus,catus,White Catfish,Ameiurus catus,Species
Animalia,Chordata,Vertebrata,Actinopterygii,Siluriformes,,Ictaluridae,,,Catfish,Ictaluridae,Family
Animalia,Chordata,Vertebrata,Actinopterygii,,,,,,Actinopterygii Fish,Actinopterygii,Class
Animalia,Chordata,Vertebrata,Petromyzonti,Petromyzontiformes,,Petromyzontidae,Lampetra,tridentata,Pacific  Lamprey,Lampetra tridentata,Species
